Round Number,Date,Location,Home Team,Away Team,Result
1,21/03/2019 19:20,MCG,Carlton,Richmond,
1,22/03/2019 19:50,MCG,Collingwood,Geelong Cats,
1,23/03/2019 13:45,MCG,Melbourne,Port Adelaide,
1,23/03/2019 16:35,Adelaide Oval,Adelaide Crows,Hawthorn,
1,23/03/2019 19:25,Marvel Stadium,Western Bulldogs,Sydney Swans,
1,23/03/2019 20:20,Gabba,Brisbane Lions,West Coast Eagles,
1,24/03/2019 13:10,Marvel Stadium,St Kilda,Gold Coast Suns,
1,24/03/2019 15:20,Sydney Showground Stadium,GWS Giants,Essendon,
1,24/03/2019 18:20,Optus Stadium,Fremantle,North Melbourne,
2,28/03/2019 19:20,MCG,Richmond,Collingwood,
2,29/03/2019 19:50,SCG,Sydney Swans,Adelaide Crows,
2,30/03/2019 16:35,Marvel Stadium,Essendon,St Kilda,
2,30/03/2019 17:10,Adelaide Oval,Port Adelaide,Carlton,
2,30/03/2019 19:25,GMHBA Stadium,Geelong Cats,Melbourne,
2,30/03/2019 20:10,Optus Stadium,West Coast Eagles,GWS Giants,
2,31/03/2019 13:10,Marvel Stadium,North Melbourne,Brisbane Lions,
2,31/03/2019 15:20,MCG,Hawthorn,Western Bulldogs,
2,31/03/2019 16:40,Metricon Stadium,Gold Coast Suns,Fremantle,
3,04/04/2019 19:50,Adelaide Oval,Adelaide Crows,Geelong Cats,
3,05/04/2019 19:50,MCG,Melbourne,Essendon,
3,06/04/2019 13:45,Marvel Stadium,Carlton,Sydney Swans,
3,06/04/2019 16:35,Sydney Showground Stadium,GWS Giants,Richmond,
3,06/04/2019 19:25,Gabba,Brisbane Lions,Port Adelaide,
3,06/04/2019 19:25,MCG,Collingwood,West Coast Eagles,
3,07/04/2019 14:20,Marvel Stadium,Western Bulldogs,Gold Coast Suns,
3,07/04/2019 15:20,MCG,Hawthorn,North Melbourne,
3,07/04/2019 17:20,Optus Stadium,Fremantle,St Kilda,
4,11/04/2019 19:20,SCG,Sydney Swans,Melbourne,
4,12/04/2019 19:50,MCG,Collingwood,Western Bulldogs,
4,13/04/2019 13:45,GMHBA Stadium,Geelong Cats,GWS Giants,
4,13/04/2019 14:10,MCG,Essendon,Brisbane Lions,
4,13/04/2019 16:35,Adelaide Oval,Port Adelaide,Richmond,
